FarmerID,FarmID,Region,County,Crop,Variety,FarmSize,SoilType,Rainfall,Temperature,FertilizerUsed,PesticideUsed,IrrigationMethod,LaborHours,PlantingDate,HarvestDate,Production,MarketPrice,Revenue,FarmerAge,FarmerGender,FarmingExperience,TrainingReceived,YieldCategory
1,F1001,Nyanza,Nakuru,Potatoes,Improved,0.99,Loam,640.0,15.6,194.1,10.9,Rain-fed,583.2,2024-11-23,2025-02-15,1327.8,93.65,124348.47,65,Female,15,No,High
2,F1002,Eastern,Kisumu,Maize,Hybrid A,17.45,Silt,1414.1,16.9,144.5,42.4,Sprinkler,816.8,2024-05-22,2024-11-11,5337.7,62.26,332325.2,66,Female,35,Yes,Medium
3,F1003,Central,Nakuru,Sorghum,Hybrid B,6.22,Sandy,1205.8,34.7,710.7,42.8,Rain-fed,411.1,2024-02-10,2024-06-29,3505.6,56.16,196874.5,49,Female,11,No,Medium
4,F1004,Coast,Meru,Beans,Improved,5.71,Silt,1698.6,20.4,525.5,46.3,Drip,700.4,2024-04-17,2024-09-19,3374.8,80.91,273055.07,73,Male,15,Yes,Medium
5,F1005,Western,Machakos,Sorghum,Improved,1.79,Clay,1661.0,20.3,462.4,12.3,Sprinkler,759.7,2024-07-24,2024-11-05,2594.7,91.79,238167.51,47,Female,24,Yes,Low
6,F1006,Western,Nyeri,Maize,Improved,2.27,Silt,275.4,26.9,105.5,23.4,Sprinkler,972.5,2024-09-17,2025-01-28,1547.9,82.74,128073.25,75,Male,8,No,High
7,F1007,Nyanza,Meru,Potatoes,Hybrid A,6.22,Sandy,453.1,31.8,22.5,25.4,Drip,195.2,2024-06-23,2024-09-15,3232.8,92.21,298096.49,68,Male,35,Yes,High
8,F1008,Central,Meru,Potatoes,Hybrid A,0.88,Loam,1686.6,29.6,705.4,40.8,Drip,172.0,2024-06-14,2024-10-24,2971.2,103.17,306538.7,50,Male,17,No,Low
9,F1009,Western,Nyeri,Wheat,Hybrid A,14.73,Clay,521.8,19.5,263.1,16.9,Drip,609.0,2024-10-03,2025-03-18,7099.8,119.51,848497.1,20,Male,4,Yes,Low
10,F1010,Coast,Nyeri,Potatoes,Improved,6.94,Clay,1022.6,30.7,237.2,40.4,Drip,139.6,2024-01-17,2024-07-15,3793.7,68.54,260020.2,62,Female,23,No,Medium
11,F1011,Rift Valley,Nakuru,Beans,Hybrid B,14.72,Clay,1277.4,25.7,787.6,7.0,Drip,314.6,2024-08-27,2025-02-23,6856.5,29.84,204597.96,35,Male,29,Yes,Low
12,F1012,Western,Machakos,Beans,Improved,16.8,Loam,1750.4,18.3,742.6,0.1,Flood,301.9,2024-11-29,2025-04-17,5682.4,104.87,595913.29,70,Female,19,No,High
13,F1013,Nyanza,Nakuru,Sorghum,Local,14.51,Loam,447.7,16.0,251.4,23.8,Drip,104.0,2024-10-11,2025-03-14,6391.8,116.87,747009.67,52,Male,12,Yes,High
