FarmerID,Region,Crop,FarmSizeAcres,PlantingDate,HarvestDate,ProductionKg,FertilizerKg,RainfallMM,Irrigation,MarketPrice,Gender,Age
1,Eastern,Rice,7.5,2025-04-16,2025-07-23,11674.8,218.4,367.9,Sprinkler,71.18,Male,45
2,Rift Valley,Wheat,9.95,2025-03-04,2025-07-01,4262.1,440.4,944.3,Sprinkler,111.09,Female,35
3,Rift Valley,Maize,16.0,2025-04-27,2025-09-20,8074.1,366.6,953.5,Rain-fed,82.3,Female,25
4,Nyanza,Wheat,14.01,2025-05-16,2025-10-12,1439.5,411.9,542.0,Flood,28.95,Female,62
5,Central,Maize,15.28,2025-05-08,2025-10-13,7781.3,99.3,1063.2,Sprinkler,54.38,Female,26
6,Central,Maize,5.19,2025-06-12,2025-09-24,7946.5,163.0,605.2,Drip,40.12,Male,22
7,Rift Valley,Maize,13.21,2025-05-27,2025-09-15,2838.4,446.6,105.4,Flood,108.11,Male,29
8,Eastern,Potatoes,18.97,2025-01-30,2025-06-17,8827.8,66.0,936.0,Rain-fed,45.63,Male,55
9,Eastern,Beans,18.56,2025-01-08,2025-04-06,6220.9,342.8,616.9,Flood,43.54,Male,74
10,Nyanza,Maize,2.72,2025-04-21,2025-08-05,9057.8,192.6,624.5,Rain-fed,25.3,Male,38
11,Rift Valley,Potatoes,8.01,2025-04-27,2025-10-21,4283.2,83.0,943.4,Sprinkler,119.86,Male,79
12,Western,Wheat,18.13,2025-02-11,2025-06-16,947.4,297.3,962.2,Drip,40.12,Male,69
13,Central,Wheat,19.02,2025-03-22,2025-09-08,7490.6,374.0,698.1,Sprinkler,87.83,Female,74
14,Central,Wheat,8.77,2025-06-23,2025-11-28,1690.0,290.4,669.1,Flood,68.29,Male,58
15,Nyanza,Potatoes,6.21,2025-06-14,2025-12-08,785.7,313.6,868.0,Drip,90.28,Female,24
16,Eastern,Potatoes,5.33,2025-04-14,2025-06-26,11215.7,441.2,452.5,Drip,112.29,Female,63
17,Central,Potatoes,11.07,2025-03-25,2025-08-26,7459.4,117.2,647.9,Sprinkler,92.46,Female,34
18,Western,Wheat,3.89,2025-05-27,2025-09-21,3969.2,270.1,621.5,Rain-fed,48.62,Male,50
19,Nyanza,Maize,16.78,2025-01-24,2025-03-26,1387.0,436.8,592.9,Drip,107.1,Male,54
20,Western,Rice,18.11,2025-05-29,2025-08-30,3120.7,87.4,304.5,Rain-fed,69.21,Male,27
21,Western,Beans,2.23,2025-03-02,2025-06-11,7791.9,116.7,1072.6,Sprinkler,47.15,Male,38
22,Eastern,Wheat,12.51,2025-05-14,2025-11-06,2443.7,193.7,756.9,Rain-fed,50.96,Female,78
23,Western,maiz,15.0,2025-05-16,2025-10-14,5186.2,444.4,1030.6,Flood,21.35,Male,74
24,Rift Valley,Beans,10.52,2025-03-17,2025-08-06,4987.2,220.2,596.7,Flood,57.48,Female,71
25,Central,Beans,13.81,2025-03-07,2025-07-08,5171.2,122.5,1190.5,Flood,82.03,Female,70
26,Rift Valley,Maize,17.17,2025-02-01,2025-04-06,1853.9,443.5,538.6,Flood,85.74,Female,24
27,Eastern,Wheat,14.91,2025-02-16,2025-05-03,8054.1,487.8,184.1,Rain-fed,101.55,Male,63
28,Nyanza,Rice,9.63,2025-03-29,2025-05-31,9871.5,188.9,1189.5,Rain-fed,80.27,Female,33
29,Central,Beans,12.99,2025-01-12,2025-06-25,11649.8,108.8,941.4,Sprinkler,89.99,Female,41
30,Nyanza,Beans,13.1,2025-06-18,2025-08-24,4923.5,85.1,320.8,Drip,119.44,Male,77
31,Western,Beans,17.29,2025-06-30,2025-11-23,8846.2,105.7,314.8,Sprinkler,29.14,Male,64
32,Eastern,Rice,10.54,2025-06-12,2025-11-20,10717.4,297.0,322.8,Drip,93.01,Male,58
33,Eastern,Potatoes,18.33,2025-06-15,2025-09-18,4657.6,160.3,770.4,Flood,56.88,Male,66
34,Rift Valley,Potatoes,6.57,2025-06-17,2025-11-15,8545.2,36.7,248.9,Flood,63.59,Female,56
35,Nyanza,Maize,3.97,2025-03-26,2025-09-19,9077.1,393.2,515.0,Rain-fed,78.77,Male,52
36,Western,Potatoes,12.01,2025-01-10,2025-06-12,707.8,61.3,615.5,Rain-fed,46.31,Male,50
37,Nyanza,Beans,5.82,2025-02-21,2025-06-12,3648.7,266.1,710.2,Drip,46.95,Male,69
38,Nyanza,Maize,4.55,2025-02-28,2025-05-19,11217.8,102.7,441.9,Rain-fed,119.65,Female,47
39,Western,Maize,2.89,2025-01-11,2025-06-28,11158.2,400.5,675.8,Sprinkler,101.71,Female,39
40,Nyanza,Potatoes,10.29,2025-05-04,2025-07-14,7302.0,405.3,449.3,Drip,50.75,Male,37
41,Rift Valley,Potatoes,9.87,2025-01-06,2025-06-21,1781.6,328.2,381.8,Sprinkler,84.93,Male,55
42,Rift Valley,Maize,4.74,2025-01-16,2025-06-10,9759.5,365.5,895.8,Flood,106.64,Female,39
43,Western,Wheat,19.21,2025-04-04,2025-06-30,576.9,219.5,516.5,Drip,68.93,Female,56
44,Rift Valley,Rice,17.83,2025-06-26,2025-12-08,5985.9,344.1,245.3,Sprinkler,78.65,Female,65
45,Eastern,Potatoes,8.28,2025-01-29,2025-05-05,3249.3,100.7,731.0,Drip,112.32,Female,77
46,Rift Valley,Maize,8.73,2025-03-20,2025-06-13,1880.7,160.5,223.7,Sprinkler,115.44,Female,70
47,Nyanza,Maize,5.33,2025-03-31,2025-08-07,1733.9,309.7,343.7,Drip,70.37,Female,32
48,Rift Valley,Maize,3.63,2025-01-06,2025-05-20,8633.7,366.2,975.8,Flood,110.93,Female,48
49,Eastern,Wheat,7.16,2025-06-22,2025-08-29,9019.2,300.9,1136.8,Sprinkler,70.34,Male,34
50,Rift Valley,Wheat,5.95,2025-02-08,2025-06-04,3755.3,349.6,614.2,Drip,51.36,Male,50
51,Rift Valley,Beans,17.05,2025-04-24,2025-08-09,1804.1,56.6,699.2,Flood,118.49,Female,74
52,Rift Valley,Potatoes,13.83,2025-02-27,2025-08-12,10683.1,158.2,643.2,Flood,31.58,Female,50
53,Western,Potatoes,6.77,2025-06-20,2025-11-30,5929.3,154.7,1067.5,Rain-fed,53.36,Male,79
54,Central,Rice,11.5,2025-03-08,2025-05-31,3105.9,190.2,622.0,Rain-fed,29.28,Female,47
55,Central,Rice,6.75,2025-05-17,2025-09-07,3759.9,106.7,761.3,Rain-fed,89.51,Male,44
56,Western,Maize,14.73,2025-05-31,2025-11-04,4528.2,346.6,507.8,Sprinkler,113.01,Female,27
57,Rift Valley,Beans,4.8,2025-01-03,2025-04-01,1704.3,447.2,247.9,Rain-fed,51.42,Female,35
58,Central,Wheat,2.7,2025-04-25,2025-09-16,1693.5,26.8,232.0,Rain-fed,104.94,Female,76
59,Rift Valley,Rice,13.52,2025-03-30,2025-06-26,11917.0,480.2,529.9,Rain-fed,118.67,Male,36
60,Eastern,Rice,6.02,2025-03-01,2025-07-07,3689.5,298.2,999.7,Drip,103.85,Male,26
61,Nyanza,Wheat,8.32,2025-01-20,2025-04-16,1827.7,195.5,127.5,Rain-fed,79.91,Male,28
62,Rift Valley,Rice,18.99,2025-02-16,2025-08-14,4686.6,163.9,570.1,Flood,61.38,Female,62
63,Eastern,maiz,17.24,2025-03-03,2025-07-29,6229.6,38.9,502.3,Drip,44.0,Female,33
64,Eastern,Rice,7.81,2025-05-01,2025-08-08,8408.2,114.2,107.7,Sprinkler,114.77,Male,24
65,Nyanza,Potatoes,12.67,2025-06-07,2025-10-10,11298.2,403.8,1110.1,Drip,110.77,Female,49
66,Central,Rice,1.82,2025-06-08,2025-10-18,4624.5,455.2,553.3,Rain-fed,33.42,Male,37
67,Eastern,Wheat,3.7,2025-03-16,2025-07-06,6733.3,344.4,269.1,Rain-fed,85.91,Female,24
68,Western,Beans,13.36,2025-01-05,2025-04-25,5974.8,333.7,697.3,Sprinkler,29.09,Male,22
69,Nyanza,Beans,1.25,2025-05-27,2025-11-01,5090.4,374.2,1024.9,Sprinkler,69.52,Female,57
70,Rift Valley,Rice,10.83,2025-03-17,2025-05-20,5287.5,187.2,283.1,Flood,100.85,Male,59
71,Central,Wheat,10.16,2025-01-23,2025-06-08,11028.2,152.4,892.3,Flood,72.33,Male,45
72,Central,Potatoes,9.96,2025-06-27,2025-11-30,1198.2,248.6,1002.8,Rain-fed,100.44,Female,21
73,Nyanza,Beans,9.55,2025-02-11,2025-06-27,6304.6,59.2,808.9,Sprinkler,69.32,Female,37
74,Eastern,Beans,16.27,2025-04-03,2025-06-29,4723.3,444.1,105.6,Sprinkler,51.51,Male,78
75,Western,Beans,15.71,2025-04-20,2025-09-18,8554.9,225.0,795.2,Flood,105.67,Female,55
76,Eastern,Rice,10.84,2025-06-29,2025-11-10,10921.0,439.3,1179.6,Drip,76.18,Female,75
77,Central,Maize,8.91,2025-06-14,2025-08-31,10271.5,494.5,840.5,Rain-fed,44.65,Female,48
78,Central,Beans,18.03,2025-06-25,2025-10-19,975.6,248.6,725.0,Rain-fed,58.37,Female,65
79,Nyanza,Beans,15.78,2025-03-09,2025-06-01,2479.3,329.2,875.4,Drip,35.57,Female,35
80,Central,Rice,15.98,2025-01-29,2025-04-03,5007.5,489.0,1100.5,Drip,22.64,Male,46
81,Nyanza,Beans,11.87,2025-04-27,2025-09-04,6041.4,116.6,706.3,Sprinkler,36.18,Female,25
82,Nyanza,Potatoes,13.13,2025-04-22,2025-08-30,10259.4,213.5,172.1,Rain-fed,75.56,Male,58
83,Western,Potatoes,3.55,2025-04-18,2025-08-15,6489.4,93.9,174.0,Drip,109.75,Male,21
84,Nyanza,Potatoes,19.04,2025-06-18,2025-10-05,9384.4,241.0,928.6,Rain-fed,113.06,Female,73
85,Central,Potatoes,7.95,2025-04-22,2025-09-20,5812.9,139.2,1038.3,Sprinkler,98.77,Male,61
86,Nyanza,Beans,16.07,2025-03-15,2025-09-09,10451.3,176.2,723.9,Drip,83.14,Male,65
87,Western,Potatoes,3.17,2025-04-21,2025-08-08,8065.2,52.5,317.5,Drip,31.26,Male,29
88,Rift Valley,Beans,17.39,2025-06-24,2025-12-02,8255.4,254.6,220.8,Rain-fed,23.46,Female,58
89,Eastern,Wheat,1.84,2025-03-23,2025-06-27,9407.9,86.4,1034.1,Rain-fed,86.55,Female,26
90,Western,Potatoes,8.56,2025-06-03,2025-09-27,4484.6,485.5,759.7,Sprinkler,97.91,Female,22
91,Central,Maize,7.92,2025-05-20,2025-09-16,8925.0,405.4,786.0,Rain-fed,35.08,Male,21
92,Central,Beans,14.8,2025-02-12,2025-07-28,9442.0,421.8,1013.7,Rain-fed,38.68,Male,20
93,Eastern,Beans,11.42,2025-05-03,2025-08-02,9937.7,489.7,143.4,Flood,30.84,Female,34
94,Eastern,Rice,12.79,2025-02-28,2025-05-23,8558.4,351.9,157.7,Sprinkler,87.85,Female,40
95,Central,Wheat,3.14,2025-06-17,2025-10-10,2777.3,260.0,990.5,Rain-fed,74.06,Female,41
96,Nyanza,Potatoes,16.55,2025-03-07,2025-05-31,10957.7,122.8,901.1,Flood,70.77,Male,41
97,Rift Valley,Rice,11.42,2025-03-29,2025-06-11,7236.6,104.5,669.5,Flood,108.28,Male,31
98,Western,Beans,10.34,2025-01-14,2025-03-16,10325.6,186.8,553.2,Rain-fed,78.86,Male,48
99,Nyanza,Rice,1.41,2025-03-19,2025-06-08,633.7,100.3,315.9,Drip,32.32,Male,50
100,Rift Valley,Maize,15.94,2025-01-27,2025-07-07,4527.2,405.1,228.1,Drip,116.14,Male,21
101,Central,Wheat,14.33,2025-01-20,2025-04-02,1527.0,444.5,380.7,Drip,75.13,Female,45
102,Central,Beans,13.41,2025-01-07,2025-06-10,9645.2,74.4,631.7,Sprinkler,61.91,Female,53
