TransactionID,Date,Branch,CustomerID,Age,Gender,AccountType,TransactionType,Channel,Amount,Balance,Region
1,2025-06-15,Mombasa,61750,59,Male,Savings,Loan Repayment,ATM,73201.21,57998.92,Coast
2,2025-01-20,Nairobi,66838,44,Male,Savings,Deposit,Branch,11916.19,565453.69,Coast
3,2025-11-19,Nakuru,18108,54,Female,Savings,Withdrawal,ATM,111377.31,133174.82,Rift Valley
4,2025-03-15,Nakuru,25439,54,Female,Savings,Deposit,Mobile,74542.27,547744.47,Central
5,2025-10-16,Nairobi,91134,31,Female,Current,Transfer,Branch,117153.82,453184.38,Western
6,2025-05-08,Mombasa,41994,23,Female,Current,Transfer,Branch,57658.76,980174.85,Central
7,2025-09-20,Eldoret,31621,66,Female,Savings,Bill Payment,Branch,7937.53,668215.86,Western
8,2025-06-24,Kisumu,87905,49,Female,Savings,Deposit,Internet,94872.26,664152.21,Central
9,2025-12-26,Kisumu,94820,54,Female,Current,Bill Payment,Internet,4610.33,461695.29,Coast
10,2025-11-09,Nairobi,74709,21,Male,Current,Withdrawal,Mobile,79639.75,916816.23,Rift Valley
11,2025-02-11,Mombasa,68875,43,Female,Savings,Bill Payment,Internet,141308.7,986467.08,Rift Valley
12,2025-04-29,Mombasa,20876,29,Male,Savings,Withdrawal,ATM,97044.05,589123.5,Western
13,2025-05-25,Nairobi,29094,44,Female,Current,Withdrawal,ATM,91383.08,870979.5,Rift Valley
14,2025-07-23,Eldoret,61658,24,Female,Current,Deposit,Mobile,13562.79,208763.19,Coast
15,2025-02-26,Kisumu,88738,21,Male,Savings,Loan Repayment,Mobile,107370.08,948948.76,Central
16,2025-02-06,Mombasa,90487,42,Male,Current,Transfer,Internet,94882.88,115353.52,Rift Valley
17,2025-08-27,Eldoret,73417,37,Male,Savings,Deposit,Internet,148096.21,478621.94,Coast
18,2025-09-22,Nairobi,36897,51,Female,Savings,Loan Repayment,ATM,151652.78,298089.69,Central
