TransactionID,TransactionDate,CustomerID,BranchID,Region,AccountType,TransactionType,TransactionChannel,TransactionAmount,AccountBalance,CustomerAge,Gender,Occupation,MonthlyIncome,CreditScore,LoanStatus,AccountTenure,NumberOfTransactions,DigitalBankingUsage,CustomerSatisfaction,HighValueCustomer,FutureTransactionAmount
1,2025-02-17,C88569,B003,Eastern,Savings,Withdrawal,ATM,190438.24,502302.02,42,Male,Nurse,249744.73,731,Yes,16.0,192,82.4,4.4,Yes,166850.23
2,2025-11-07,C84306,B006,Central,Fixed Deposit,Loan Repayment,ATM,89582.58,938078.1,43,Male,Farmer,283396.45,735,Yes,7.6,274,9.0,3.1,Yes,98787.6
3,2024-02-22,C38288,B015,Nairobi,Savings,Bill Payment,Mobile Banking,178826.71,1887821.19,60,Male,Teacher,63798.29,475,No,13.8,215,9.0,2.7,Yes,155839.57
4,2025-09-24,C53214,B003,Rift Valley,Current,Withdrawal,ATM,2933.4,1280867.34,46,Female,Nurse,207993.16,429,No,18.9,244,92.3,1.5,Yes,3238.52
5,2025-02-22,C25560,B003,Western,Savings,Withdrawal,Branch,62271.04,291022.9,31,Female,Civil Servant,254575.43,539,No,2.8,186,19.4,1.3,No,50163.95
6,2024-02-18,C59410,B007,Western,Current,Bill Payment,Branch,168783.73,1627377.23,52,Male,Business,440988.5,681,No,15.5,118,31.8,3.6,No,143951.32
7,2025-12-05,C38652,B013,Nairobi,Fixed Deposit,Withdrawal,Branch,360390.55,592753.48,66,Male,Engineer,216343.49,562,Yes,10.3,165,79.0,3.1,No,365962.54
8,2024-10-24,C96273,B014,Rift Valley,Savings,Transfer,Branch,204725.3,1356484.89,56,Female,Business,196114.02,502,No,0.6,182,69.7,4.9,Yes,255019.03
9,2025-11-14,C93894,B005,Nairobi,Current,Withdrawal,Branch,85912.25,1721010.82,40,Female,Teacher,65042.76,844,Yes,0.5,159,95.0,4.9,Yes,90685.36
10,2025-03-30,C44590,B012,Nairobi,Current,Bill Payment,Internet Banking,466552.49,400569.21,19,Male,Civil Servant,160675.53,332,Yes,8.6,190,97.1,3.5,No,418498.49
11,2024-04-12,C61729,B007,Eastern,Current,Bill Payment,Internet Banking,495911.27,256937.31,26,Female,Civil Servant,426608.98,698,No,11.5,92,36.6,1.8,No,538724.2
12,2025-12-17,C72806,B010,Nairobi,Current,Withdrawal,ATM,191388.86,1063327.12,47,Male,Teacher,171575.73,805,Yes,7.0,3,57.4,3.1,Yes,208895.62
13,2025-02-27,C27845,B010,Central,Current,Deposit,ATM,130842.53,684779.47,32,Female,Business,420538.58,358,No,5.0,97,12.6,1.7,No,147645.2
14,2024-03-13,C35983,B013,Rift Valley,Savings,Transfer,ATM,279894.51,1486848.02,25,Male,Civil Servant,77107.1,388,Yes,15.3,195,17.5,4.5,Yes,309980.93
15,2025-09-17,C16922,B015,Western,Fixed Deposit,Bill Payment,Mobile Banking,80638.28,614930.71,65,Male,Business,253313.14,833,Yes,5.0,50,78.5,5.0,No,94064.69
16,2025-09-08,C20509,B015,Eastern,Savings,Bill Payment,Internet Banking,437110.7,506004.37,55,Male,Nurse,204298.01,607,Yes,3.1,6,88.2,4.2,No,413091.97
