TransactionID,Date,Region,Category,Quantity,UnitPrice,Discount,Sales,Gender,Age
1,2025-11-24,South,Furniture,2,17.38,0.1,31.284,Male,65
2,2025-02-22,North,Electronics,9,48.03,0.15,367.42949999999996,Male,31
3,2025-04-30,South,Clothing,9,303.0,,2727.0,Male,46
4,2025-10-29,South,Clothing,5,405.67,0.0,2028.3500000000001,Female,35
5,2025-03-21,North,Electronics,4,478.82,0.1,1723.752,Female,24
6,2025-07-03,West,Electronics,6,303.84,0.0,1823.04,Female,23
7,2025-10-10,East,Furniture,5,415.56,,2077.8,Male,20
8,2025-12-05,South,Electronics,4,387.67,0.0,1550.68,Female,35
9,2025-08-21,,Office Supplies,6,85.51,0.1,461.7540000000001,Male,56
10,2025-11-22,South,Clothing,3,269.4,0.05,767.7899999999998,Female,35
11,2025-11-24,North,Furniture,9,113.71,0.1,921.051,Male,69
12,2025-06-11,East,Furniture,7,137.53,0.05,914.5745,Female,43
13,2025-11-26,South,Office Supplies,8,75.72,0.05,575.472,Female,55
14,2025-07-24,West,Electronics,6,113.56,0.05,647.292,Male,25
15,2025-03-20,North,Clothing,3,397.08,0.15,1012.554,Female,56
16,2025-08-28,North,Electronics,9,129.45,,1165.05,Female,67
17,2025-11-25,South,Clothing,6,60.22,0.15,307.122,Male,64
18,2025-05-15,North,Office Supplies,9,382.17,,3439.53,Male,27
19,2025-07-11,North,Office Supplies,3,271.99,,815.97,Female,19
20,2025-02-27,South,Electronics,6,439.97,0.1,2375.838,Male,54
21,2025-02-10,South,Furniture,2,367.29,0.0,734.58,Female,53
22,2025-03-26,West,Furniture,5,266.2,,1331.0,Male,63
23,2025-06-09,West,electrnics,7,497.6,0.1,3134.88,Male,33
24,2025-04-26,South,Furniture,2,172.35,,344.7,Male,22
25,2025-12-29,East,Electronics,1,118.33,0.0,118.33,Male,35
26,2025-12-09,West,Furniture,8,111.05,0.05,843.9799999999999,Female,69
27,2025-07-28,East,Clothing,4,51.69,0.15,175.74599999999998,Female,47
28,2025-01-28,North,Furniture,2,35.0,0.1,63.0,Male,30
29,2025-10-02,East,Clothing,8,74.39,0.05,565.364,Male,22
30,2025-08-15,North,Electronics,9,53.46,,481.14,Male,28
