TransactionID,Date,StoreID,Region,ProductID,Category,UnitPrice,Quantity,Discount,Cost,Sales,Profit,CustomerID,Age,Gender,Membership,PaymentMethod,Promotion,Holiday,InventoryLevel,CustomerSatisfaction
1,2024-02-09,S013,Central,P6442,Clothing,57.1,2,15,34.64,97.07,38.18,C16802,28,Male,Platinum,Mobile Money,Holiday Sale,0,0,4.6
2,2024-01-07,S011,West,P2671,Electronics,774.72,15,20,504.37,9296.64,3244.2,C22158,60,Male,Gold,Cash,Weekend Deal,1,293,2.9
3,2025-05-09,S007,Central,P9635,Groceries,471.95,1,10,300.81,424.75,154.03,C51322,18,Female,None,Online,Loyalty Offer,1,191,3.0
4,2024-03-25,S016,,P3787,Clothing,848.11,11,5,670.29,8862.75,1858.22,C54160,53,Female,Silver,Online,Clearance,1,8,1.8
5,2024-12-26,S008,West,P9716,Groceries,92.72,11,10,46.84,917.93,454.21,C17828,58,Female,None,Card,Loyalty Offer,1,90,1.6
6,2024-05-17,S015,South,P1344,Clothing,538.7,7,15,278.86,3205.27,1546.05,C56143,61,Female,None,Online,None,0,316,1.3
7,2024-01-09,S018,West,P2203,Groceries,358.29,2,0,241.23,716.58,234.12,C93242,43,Male,Platinum,Mobile Money,Clearance,0,384,3.2
8,2024-06-16,S014,North,P3359,Clothing,417.0,1,25,314.6,312.75,76.8,C97655,33,Male,Silver,Online,Loyalty Offer,1,74,4.7
9,2025-07-01,S011,Central,P2958,Furniture,773.59,5,15,500.82,3287.76,1159.27,C87240,42,Female,Silver,Card,Clearance,0,178,2.8
10,2024-11-07,S014,North,P3598,Groceries,739.75,12,25,567.78,6657.75,1547.73,C52579,73,Male,Platinum,Cash,Loyalty Offer,1,115,4.6
11,2024-11-25,S009,West,P1704,Groceries,343.38,5,20,205.1,1373.52,553.12,C20533,30,Male,Silver,Card,Weekend Deal,0,43,3.4
12,2025-07-01,S005,West,P9065,Office Supplies,88.32,9,20,48.88,635.9,283.97,C13699,34,Female,Platinum,Online,Holiday Sale,0,312,3.5
13,2025-05-21,S011,Central,P3004,Electronics,898.78,13,20,668.39,9347.31,2396.06,C57270,73,Female,Platinum,Online,Weekend Deal,1,110,4.1
14,2024-07-04,S013,North,P7794,Office Supplies,346.32,13,5,286.82,4277.05,734.82,C75598,34,Male,None,Mobile Money,None,1,62,4.6
15,2025-01-24,S002,Central,P7363,Clothing,505.32,10,10,263.76,4547.88,2174.04,C24085,47,Female,Gold,Online,Weekend Deal,1,288,3.3
16,2024-10-08,S011,North,P3985,Electronics,252.17,12,15,176.62,2572.13,770.61,C12609,45,Female,Gold,Online,Loyalty Offer,0,240,5.0
17,2024-08-14,S020,North,P8592,Groceries,145.84,14,10,124.93,1837.58,263.47,C88825,67,Female,Silver,Mobile Money,Clearance,0,352,4.6
18,2025-01-01,S014,North,P1212,Office Supplies,872.23,5,5,783.41,4143.09,421.9,C98312,28,Male,Silver,Mobile Money,Loyalty Offer,0,391,3.9
19,2025-04-23,S008,East,P9647,Electronics,533.58,4,10,373.47,1920.89,576.4,C23530,46,Female,Gold,Cash,Clearance,1,408,4.2
