Months,crude_oil_prices
1/1/2003,29.6
2/1/2003,31.7
3/1/2003,29.1
4/1/2003,25
5/1/2003,25.85
6/1/2003,26.8
7/1/2003,27.75
8/1/2003,28.85
9/1/2003,26.95
10/1/2003,29.1
11/1/2003,29.6
12/1/2003,30.05
1/1/2004,31.05
2/1/2004,30.9
3/1/2004,33.15
4/1/2004,33.8
5/1/2004,37.05
6/1/2004,35.95
7/1/2004,37.35
8/1/2004,41.55
9/1/2004,41.39
10/1/2004,42.8
11/1/2004,39.65
12/1/2004,38.5
1/1/2005,42.1
2/1/2005,44
3/1/2005,50.95
4/1/2005,52.55
5/1/2005,49.8
6/1/2005,55.45
7/1/2005,57.1
8/1/2005,60.95
9/1/2005,61.05
10/1/2005,58
11/1/2005,54.95
12/1/2005,56.9
1/1/2006,62.15
2/1/2006,60.95
3/1/2006,60.85
4/1/2006,67.5
5/1/2006,68.5
6/1/2006,68.85
7/1/2006,73
8/1/2006,72.7
9/1/2006,63.25
10/1/2006,59.35
11/1/2006,59.7
12/1/2006,62.05
1/1/2007,54.85
2/1/2007,58.75
3/1/2007,62.1
4/1/2007,67.6
5/1/2007,68.4
6/1/2007,69.7
7/1/2007,73.7
8/1/2007,71.75
9/1/2007,78.55
10/1/2007,81.8
11/1/2007,91.75
12/1/2007,90.6
1/1/2008,92.25
2/1/2008,95.1
3/1/2008,102.2
4/1/2008,109.35
5/1/2008,125.75
6/1/2008,134
7/1/2008,137.35
8/1/2008,117.5
9/1/2008,98.05
10/1/2008,69.25
11/1/2008,51.4
12/1/2008,42.1
1/1/2009,48.85
2/1/2009,44.95
3/1/2009,47.55
4/1/2009,45.85
5/1/2009,60.15
6/1/2009,71.65
7/1/2009,66.95
8/1/2009,72.75
9/1/2009,69.1
10/1/2009,69.25
11/1/2009,78.6
12/1/2009,76.1
1/1/2010,77.5
2/1/2010,74.2
3/1/2010,78.3
4/1/2010,84.8
5/1/2010,77.85
6/1/2010,74.8
7/1/2010,73
8/1/2010,74.6
9/1/2010,75.9
10/1/2010,81.5
11/1/2010,85.65
12/1/2010,91.85
1/1/2011,95.55
2/1/2011,103.6
3/1/2011,112.55
4/1/2011,120.7
5/1/2011,113.6
6/1/2011,112.15
7/1/2011,113.95
8/1/2011,109.05
9/1/2011,110.9
10/1/2011,108.95
11/1/2011,114.35
12/1/2011,111.8
1/1/2012,114.2
2/1/2012,120.45
3/1/2012,127
4/1/2012,121.2
5/1/2012,110.6
6/1/2012,97.35
7/1/2012,101.75
8/1/2012,111.65
9/1/2012,115.4
10/1/2012,113.2
11/1/2012,112.1
12/1/2012,110.75
1/1/2013,112.05
2/1/2013,115.4
3/1/2013,109.95
4/1/2013,105.65
5/1/2013,103.65
6/1/2013,103
7/1/2013,106.85
8/1/2013,111.7
9/1/2013,114.5
10/1/2013,112.45
11/1/2013,112.2
12/1/2013,113.85
1/1/2014,109.75
2/1/2014,109.95
3/1/2014,108.3
4/1/2014,107.95
5/1/2014,109.15
6/1/2014,111.65
7/1/2014,109.5
8/1/2014,104.25
9/1/2014,97.95
10/1/2014,87.35
11/1/2014,77
12/1/2014,60.65
1/1/2015,46.4
2/1/2015,56.55
3/1/2015,56.1
4/1/2015,60.55
5/1/2015,65.75
6/1/2015,63.7
7/1/2015,57.7
8/1/2015,48.85
9/1/2015,46.6
10/1/2015,47.3
11/1/2015,43.55
12/1/2015,37.25
1/1/2016,29.95
2/1/2016,33
3/1/2016,38.2
4/1/2016,42
5/1/2016,47.35
6/1/2016,49.05
7/1/2016,44.6
8/1/2016,48.85
9/1/2016,45.5
10/1/2016,51.35
11/1/2016,46.15
12/1/2016,54.15
1/1/2017,55.35
2/1/2017,56.1
3/1/2017,52.6
4/1/2017,53.4
5/1/2017,51.45
6/1/2017,47.3
7/1/2017,48.6
8/1/2017,48.85
9/1/2017,55.7
10/1/2017,63.83
11/1/2017,63.65
12/1/2017,62.06
1/1/2018,66.28
2/1/2018,65.98
3/1/2018,66.31
4/1/2018,70.97
5/1/2018,76.71
6/1/2018,73.22
7/1/2018,76
8/1/2018,74.91
9/1/2018,78.75
10/1/2018,81.28
11/1/2018,68.05
12/1/2018,59.33
1/1/2019,60.81
2/1/2019,65.64
3/1/2019,68.6
4/1/2019,73.05
5/1/2019,69.7
6/1/2019,62.75
7/1/2019,64.86
8/1/2019,60.16
9/1/2019,62.39
10/1/2019,60.88
11/1/2019,63.48
12/1/2019,66.66
1/1/2020,66.09
2/1/2020,55.53
3/1/2020,33.92
4/1/2020,17.66
5/1/2020,25.17
6/1/2020,37.05
7/1/2020,43.42
8/1/2020,45.19
9/1/2020,41.54
10/1/2020,40.08
11/1/2020,42.61
12/1/2020,49.17
1/1/2021,54.38
2/1/2021,61.05
3/1/2021,64.56
4/1/2021,63.24
5/1/2021,66.91
6/1/2021,71.89
7/1/2021,73.53
8/1/2021,70.33
9/1/2021,73.88
10/1/2021,82.11
11/1/2021,80.37
12/1/2021,74.38
1/1/2022,85.41
2/1/2022,93.95
3/1/2022,113.48
4/1/2022,105.64
5/1/2022,113.87
6/1/2022,117.72
7/1/2022,108.55
8/1/2022,101.9
9/1/2022,95.32
10/1/2022,93.62
11/1/2022,89.73
12/1/2022,79.61
1/1/2023,81.62
2/1/2023,81.88
3/1/2023,78.45
4/1/2023,84.13
5/1/2023,75.82
6/1/2023,75.19
7/1/2023,81.06
8/1/2023,87.33
9/1/2023,94.6
10/1/2023,91.78
11/1/2023,84.92
12/1/2023,79
